Run Number,Std Dev (Position),Success Rate
127,41.648138019752956,0.0
128,41.86117497267706,0.0
129,47.80916050064119,0.0
130,51.521496903012014,0.0
131,50.25730717139776,0.0
132,38.558317236578674,0.0
133,48.6722337478562,0.2
134,41.28397449953618,0.0
135,36.94538267117348,0.0
136,46.27677251798099,0.0
137,33.09174197387008,0.1
138,39.81391271485431,0.0
139,44.03302850060014,0.0
140,18.75512291797683,0.0
141,53.483191982296304,0.0
142,51.652185153261655,0.0
143,47.93686585108564,0.0
144,41.71008071214077,0.0
145,29.07637953039484,0.0
146,46.3842983559831,0.0
147,38.036855099984685,0.0
148,39.2780657612559,0.0
149,43.36100557489745,0.0
150,44.26871197524843,0.0
151,49.928742707391656,0.0
152,42.462570139316554,0.0
153,41.30626524914305,0.0
154,35.03598151567591,0.0
155,50.30001309967193,0.0
156,51.72114175514163,0.0
157,48.45373795706838,0.0
158,50.36921642697537,0.0
159,49.14407780472708,0.0
160,48.4758697798529,0.0
161,,0.0
162,,0.0
163,33.585564348479814,0.0
164,27.25581147894369,0.0
165,41.94045014139666,0.0
166,44.65070387380642,0.0
167,29.348965769880255,0.0
168,44.68646055351249,0.0
169,44.33158616574462,0.0
170,46.23683001215688,0.0
171,46.883164806394674,0.0
172,39.28489871214396,0.0
173,11.927970813210544,0.8
174,47.8542826765657,0.5
175,45.17913041503673,0.0
176,28.910033181565957,0.0
177,34.49639664266927,0.1
178,25.88479828806098,0.0
179,43.63001067636,0.0
